Ascent Label,Ascent ID,Ascent Link,Ascent Type,Ascent Grade,# Ascents,Route Stars,Route Height,Route Name,Route Grade,Route ID,Route Link,Country,Country Link,Crag Name,Crag Link,Crag Path,With,Comment,Quality,Ascent Date,Log Date,Shot,Trip Name,Trip ID,Trip Link
Duck,2765574639,http://www.thecrag.com/ascent/2765574639,Red point,5.11b,2,***,24m,Duck,5.11b,15732619,http://www.thecrag.com/route/15732619,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - The Egg - Fantasy Area,,,,2019-09-24T00:00:00Z,2019-09-24T11:51:17Z,,,,
Bad Egg,2765574594,http://www.thecrag.com/ascent/2765574594,Hang dog,5.11c,3,**,25m,Bad Egg,5.11c,15732565,http://www.thecrag.com/route/15732565,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - The Egg - Fantasy Area,,,,2019-09-24T00:00:00Z,2019-09-24T11:51:16Z,,,,
Bad Egg,2765574609,http://www.thecrag.com/ascent/2765574609,Hang dog,5.11c,3,**,25m,Bad Egg,5.11c,15732565,http://www.thecrag.com/route/15732565,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - The Egg - Fantasy Area,,,,2019-09-24T00:00:00Z,2019-09-24T11:51:16Z,,,,
Dragonfly,2762944146,http://www.thecrag.com/ascent/2762944146,Hang dog,5.12a,6,***,15m,Dragonfly,5.12a,27448392,http://www.thecrag.com/route/27448392,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Riverside,,,,2019-09-23T00:00:00Z,2019-09-23T08:18:06Z,,,,
Dragonfly,2762944161,http://www.thecrag.com/ascent/2762944161,Hang dog,5.12a,6,***,15m,Dragonfly,5.12a,27448392,http://www.thecrag.com/route/27448392,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Riverside,,,,2019-09-23T00:00:00Z,2019-09-23T08:18:06Z,,,,
Dragonfly,2762944176,http://www.thecrag.com/ascent/2762944176,Pink point,5.12a,6,***,15m,Dragonfly,5.12a,27448392,http://www.thecrag.com/route/27448392,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Riverside,,,,2019-09-23T00:00:00Z,2019-09-23T08:18:06Z,,,,
Simple Love,2762944191,http://www.thecrag.com/ascent/2762944191,Onsight,5.10b,1,*,20m,Simple Love,5.10c,1949608149,http://www.thecrag.com/route/1949608149,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Riverside,,,,2019-09-23T00:00:00Z,2019-09-23T08:18:06Z,,,,
Dragonfly,2760506553,http://www.thecrag.com/ascent/2760506553,Hang dog,5.12a,6,***,15m,Dragonfly,5.12a,27448392,http://www.thecrag.com/route/27448392,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Riverside,,,,2019-09-22T00:00:00Z,2019-09-22T07:12:08Z,,,,
Dragonfly,2760506568,http://www.thecrag.com/ascent/2760506568,Hang dog,5.12a,6,***,15m,Dragonfly,5.12a,27448392,http://www.thecrag.com/route/27448392,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Riverside,,,,2019-09-22T00:00:00Z,2019-09-22T07:12:08Z,,,,
Dragonfly,2760506583,http://www.thecrag.com/ascent/2760506583,Hang dog,5.12a,6,***,15m,Dragonfly,5.12a,27448392,http://www.thecrag.com/route/27448392,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Riverside,,clipping the chains,,2019-09-22T00:00:00Z,2019-09-22T07:12:08Z,,,,
Chinese Puzzle Box,2760506598,http://www.thecrag.com/ascent/2760506598,Onsight,5.9,1,*,22m,Chinese Puzzle Box,5.9,399651525,http://www.thecrag.com/route/399651525,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Riverside,,,,2019-09-22T00:00:00Z,2019-09-22T07:12:08Z,,,,
Shazi,2758085601,http://www.thecrag.com/ascent/2758085601,Onsight,5.10c,1,**,25m,Shazi,5.10c,13975249,http://www.thecrag.com/route/13975249,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Baby Frog Buttress,,,,2019-09-21T00:00:00Z,2019-09-21T03:59:02Z,,,,
Judgement Day,2758085616,http://www.thecrag.com/ascent/2758085616,Onsight,5.10d,1,**,30m,Judgement Day,5.10d,13975357,http://www.thecrag.com/route/13975357,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Baby Frog Buttress,,,,2019-09-21T00:00:00Z,2019-09-21T03:59:02Z,,,,
Long Long Life,2756816715,http://www.thecrag.com/ascent/2756816715,Onsight,5.10c,1,*,28m,Long Long Life,5.10c,589041183,http://www.thecrag.com/route/589041183,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Square Mountain - Staircase Wall,,,,2019-09-20T00:00:00Z,2019-09-20T09:15:56Z,,,,
Windswept,2756811420,http://www.thecrag.com/ascent/2756811420,Onsight,5.11a,1,**,25m,Windswept,5.11a,25921050,http://www.thecrag.com/route/25921050,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Square Mountain - Treasure Cave,,,Very Good,2019-09-20T00:00:00Z,2019-09-20T09:14:06Z,,,,
Trou Sec en Millieu Humide,2756808384,http://www.thecrag.com/ascent/2756808384,Red point,5.11c,1,***,25m,Trou Sec en Millieu Humide,5.11c,582161166,http://www.thecrag.com/route/582161166,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Square Mountain - Brother's Cave,,,,2019-09-20T00:00:00Z,2019-09-20T09:12:36Z,,,,
Mini Pee,2756808399,http://www.thecrag.com/ascent/2756808399,Onsight,5.10d,1,*,15m,Mini Pee,5.10d,582161358,http://www.thecrag.com/route/582161358,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Square Mountain - Brother's Cave,,,,2019-09-20T00:00:00Z,2019-09-20T09:12:36Z,,,,
Hole Vision,2756808414,http://www.thecrag.com/ascent/2756808414,Onsight,5.10c,1,**,15m,Hole Vision,5.10c,589671582,http://www.thecrag.com/route/589671582,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Square Mountain - Brother's Cave,,,,2019-09-20T00:00:00Z,2019-09-20T09:12:36Z,,,,
Hanging in the Balance,2754719019,http://www.thecrag.com/ascent/2754719019,Red point,5.11a,1,**,22m,Hanging in the Balance,5.11a,15731539,http://www.thecrag.com/route/15731539,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - The Egg - The Northeast Face,,,,2019-09-19T00:00:00Z,2019-09-19T09:23:13Z,,,,
Rooster Booster,2754719034,http://www.thecrag.com/ascent/2754719034,Onsight,5.10b,1,**,31m,Rooster Booster,5.10b,15731941,http://www.thecrag.com/route/15731941,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - The Egg - The Northeast Face,,,,2019-09-19T00:00:00Z,2019-09-19T09:23:13Z,,,,
From Finland With Love,2754708681,http://www.thecrag.com/ascent/2754708681,Onsight,5.11a,1,*,27m,From Finland With Love,5.11a,15731779,http://www.thecrag.com/route/15731779,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - The Egg - West Face,,,Classic,2019-09-19T00:00:00Z,2019-09-19T09:18:16Z,,,,
Pulling Perfection,2754708696,http://www.thecrag.com/ascent/2754708696,Onsight,5.10c,1,***,27m,Pulling Perfection,5.10c,141930048,http://www.thecrag.com/route/141930048,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - The Egg - West Face,,,,2019-09-19T00:00:00Z,2019-09-19T09:18:16Z,,,,
Frogs Traverse,2752975629,http://www.thecrag.com/ascent/2752975629,Onsight,5.10c,1,**,20m,Frogs Traverse,5.10c,13975453,http://www.thecrag.com/route/13975453,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Baby Frog Buttress,,,,2019-09-18T00:00:00Z,2019-09-18T05:08:10Z,,,,
Toad in the Hole,2752975644,http://www.thecrag.com/ascent/2752975644,Onsight,5.9,1,***,18m,Toad in the Hole,5.9,13975711,http://www.thecrag.com/route/13975711,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Baby Frog Buttress,,,,2019-09-18T00:00:00Z,2019-09-18T05:08:10Z,,,,
Rolling Stone,2752975659,http://www.thecrag.com/ascent/2752975659,Onsight,5.10b,1,**,25m,Rolling Stone,5.10b,13975813,http://www.thecrag.com/route/13975813,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Baby Frog Buttress,,,,2019-09-18T00:00:00Z,2019-09-18T05:08:10Z,,,,
Adventure Race Groupies,2751451401,http://www.thecrag.com/ascent/2751451401,Onsight,5.9,1,**,25m,Adventure Race Groupies,5.9,13974151,http://www.thecrag.com/route/13974151,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Square Mountain - Treasure Cave,,,,2019-09-17T00:00:00Z,2019-09-17T03:35:22Z,,,,
Sai Yan / Seyon,2751451416,http://www.thecrag.com/ascent/2751451416,Onsight,5.10b,1,**,27m,Sai Yan / Seyon,5.10b,13973731,http://www.thecrag.com/route/13973731,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Square Mountain - Treasure Cave,,,,2019-09-17T00:00:00Z,2019-09-17T03:35:22Z,,,,
Lawnmower Man,2751451377,http://www.thecrag.com/ascent/2751451377,Onsight,5.10d,1,**,25m,Lawnmower Man,5.11a,25920531,http://www.thecrag.com/route/25920531,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Square Mountain - Treasure Cave,,,,2019-09-17T00:00:00Z,2019-09-17T03:35:22Z,,,,
Dial-A-Lama,2550411618,http://www.thecrag.com/ascent/2550411618,Pink point,24,1,**,15m,Dial-A-Lama,24,14982217,http://www.thecrag.com/route/14982217,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Mt Stapylton Amphitheatre - Spurt Wall,,,,2019-06-10T00:00:00Z,2019-06-10T09:36:01Z,,,,
Spurting Mildly,2550411633,http://www.thecrag.com/ascent/2550411633,Red point,22,1,*,12m,Spurting Mildly,22,14982559,http://www.thecrag.com/route/14982559,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Mt Stapylton Amphitheatre - Spurt Wall,,,,2019-06-10T00:00:00Z,2019-06-10T09:36:01Z,,,,
Muesli,2531533032,http://www.thecrag.com/ascent/2531533032,Red point,16,2,***,18m,Muesli,16,13537267,http://www.thecrag.com/route/13537267,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - The Boulder Bridge,,,Very Good,2019-06-02T00:00:00Z,2019-06-02T13:03:56Z,,,,
Lords Prayer,2498484792,http://www.thecrag.com/ascent/2498484792,Red point,15,1,*,17m,Lords Prayer,15,13532935,http://www.thecrag.com/route/13532935,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - Far Crag,,,Good,2019-05-17T00:00:00Z,2019-05-17T23:05:31Z,,,,
Yellow Cake,2459318442,http://www.thecrag.com/ascent/2459318442,Onsight,20,1,*,30m,Yellow Cake,20,14986453,http://www.thecrag.com/route/14986453,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Flat Rock - West Flank,,,,2019-05-04T00:00:00Z,2019-05-04T06:10:32Z,,,,
Without Warning,2459318457,http://www.thecrag.com/ascent/2459318457,Red point,22,1,**,15m,Without Warning,22,881029845,http://www.thecrag.com/route/881029845,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Flat Rock - West Flank,,,Mega Classic,2019-05-04T00:00:00Z,2019-05-04T06:10:32Z,,,,
Dirty Bomb,2459318472,http://www.thecrag.com/ascent/2459318472,Onsight,17,1,**,15m,Dirty Bomb,17,849744798,http://www.thecrag.com/route/849744798,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Flat Rock - West Flank,,,,2019-05-04T00:00:00Z,2019-05-04T06:10:32Z,,,,
Alpha Decay,2459318487,http://www.thecrag.com/ascent/2459318487,Onsight,20,1,**,17m,Alpha Decay,20,1146157182,http://www.thecrag.com/route/1146157182,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Flat Rock - West Flank,,,,2019-05-04T00:00:00Z,2019-05-04T06:10:32Z,,,,
Back Stabbath,2459317620,http://www.thecrag.com/ascent/2459317620,Red point,21,1,**,17m,Back Stabbath,21,15029029,http://www.thecrag.com/route/15029029,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Hollow Mountain (N & NE side of Mt. Stapylton) - Tribute Wall - Tribute Wall Upper,,,,2019-05-04T00:00:00Z,2019-05-04T06:07:21Z,,,,
Midnight Soiled,2459311266,http://www.thecrag.com/ascent/2459311266,Flash,22,1,*,14m,Midnight Soiled,22,15028873,http://www.thecrag.com/route/15028873,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Hollow Mountain (N & NE side of Mt. Stapylton) - Tribute Wall - Tribute Wall Lower,,,,2019-05-04T00:00:00Z,2019-05-04T06:05:52Z,,,,
In Halen,2459311281,http://www.thecrag.com/ascent/2459311281,Second clean,19,2,**,13m,In Halen,19,15028927,http://www.thecrag.com/route/15028927,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Hollow Mountain (N & NE side of Mt. Stapylton) - Tribute Wall - Tribute Wall Lower,,,,2019-05-04T00:00:00Z,2019-05-04T06:05:52Z,,,,
In Halen,2459311296,http://www.thecrag.com/ascent/2459311296,Red point,19,2,**,13m,In Halen,19,15028927,http://www.thecrag.com/route/15028927,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Hollow Mountain (N & NE side of Mt. Stapylton) - Tribute Wall - Tribute Wall Lower,,,,2019-05-04T00:00:00Z,2019-05-04T06:05:52Z,,,,
Lines N' Noses,2459311311,http://www.thecrag.com/ascent/2459311311,Onsight,18,1,*,12m,Lines N' Noses,18,15028981,http://www.thecrag.com/route/15028981,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Hollow Mountain (N & NE side of Mt. Stapylton) - Tribute Wall - Tribute Wall Lower,,,,2019-05-04T00:00:00Z,2019-05-04T06:05:52Z,,,,
Terminal Insomnia,2441248908,http://www.thecrag.com/ascent/2441248908,Flash,22,1,**,30m,Terminal Insomnia,22,15017941,http://www.thecrag.com/route/15017941,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Hollow Mountain (N & NE side of Mt. Stapylton) - Van Diemen's Land,,,Classic,2019-04-28T00:00:00Z,2019-04-28T22:41:51Z,,,,
Cosmic Psycho,2441248929,http://www.thecrag.com/ascent/2441248929,Pink point,23,1,**,25m,Cosmic Psycho,23,15018109,http://www.thecrag.com/route/15018109,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Hollow Mountain (N & NE side of Mt. Stapylton) - Van Diemen's Land,,,Very Good,2019-04-28T00:00:00Z,2019-04-28T22:41:51Z,,,,
Blond Ambition,2441248962,http://www.thecrag.com/ascent/2441248962,Pink point,24,1,**,25m,Blond Ambition,24,15018253,http://www.thecrag.com/route/15018253,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Hollow Mountain (N & NE side of Mt. Stapylton) - Van Diemen's Land,,,Very Good,2019-04-28T00:00:00Z,2019-04-28T22:41:51Z,,,,
The Dope Man,2441248983,http://www.thecrag.com/ascent/2441248983,Onsight,18,1,*,5m,The Dope Man,18,15018763,http://www.thecrag.com/route/15018763,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Hollow Mountain (N & NE side of Mt. Stapylton) - Van Diemen's Land,,,Average,2019-04-28T00:00:00Z,2019-04-28T22:41:51Z,,,,
Body Count,2441249007,http://www.thecrag.com/ascent/2441249007,Pink point,24,1,***,25m,Body Count,24,15018823,http://www.thecrag.com/route/15018823,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Hollow Mountain (N & NE side of Mt. Stapylton) - Van Diemen's Land,,,Mega Classic,2019-04-28T00:00:00Z,2019-04-28T22:41:51Z,,,,
No Takers,2459330571,http://www.thecrag.com/ascent/2459330571,Onsight,15,1,*,25m,No Takers,15,14995501,http://www.thecrag.com/route/14995501,Australia,http://www.thecrag.com/area/11737699,Grampians,http://www.thecrag.com/area/11740939,Grampians - North Grampians - Summerday Valley - Back Wall,,Climbed before recent SPA closure during Easter weekend 22/4/2019,Very Good,2019-04-22T00:00:00Z,2019-05-04T06:17:30Z,,,,
The Thinker,2399760582,http://www.thecrag.com/ascent/2399760582,Red point,15,1,*,16m,The Thinker,15,13538275,http://www.thecrag.com/route/13538275,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - The Boulder Bridge,,,,2019-04-13T00:00:00Z,2019-04-13T11:37:49Z,,,,
Plexas,2399760597,http://www.thecrag.com/ascent/2399760597,Red point,16,2,**,18m,Plexas,16,13538911,http://www.thecrag.com/route/13538911,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - The Boulder Bridge,,,,2019-04-13T00:00:00Z,2019-04-13T11:37:49Z,,,,
Battery Acid,2399753292,http://www.thecrag.com/ascent/2399753292,Red point,25,1,**,23m,Battery Acid,25,130795842,http://www.thecrag.com/route/130795842,Australia,http://www.thecrag.com/area/11737699,Onkaparinga,http://www.thecrag.com/area/11833459,Onkaparinga - Red Cliff,,,Mega Classic,2019-04-13T00:00:00Z,2019-04-13T11:26:34Z,,,,
Watchtower Crack,2186767398,http://www.thecrag.com/ascent/2186767398,Second,16,2,***,95m,Watchtower Crack,16,12939583,http://www.thecrag.com/route/12939583,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - The Watchtower Faces - Right Watchtower Face,,,,2019-01-06T00:00:00Z,2019-01-06T00:27:06Z,,,,
Telemachus,2186766216,http://www.thecrag.com/ascent/2186766216,Second with rest,19,1,**,50m,Telemachus,19,12875293,http://www.thecrag.com/route/12875293,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Atridae - Agamemnon Area,,,,2019-01-06T00:00:00Z,2019-01-06T00:26:24Z,,,,
Agamemnon,2186764956,http://www.thecrag.com/ascent/2186764956,Flash,11,2,***,40m,Agamemnon,11,12874945,http://www.thecrag.com/route/12874945,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Atridae - Agamemnon Area,,,,2019-01-06T00:00:00Z,2019-01-06T00:25:46Z,,,,
Lamplighter,2186763492,http://www.thecrag.com/ascent/2186763492,Onsight,14,1,***,78m,Lamplighter,14,12921889,http://www.thecrag.com/route/12921889,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - The Pharos and Surrounds - The Pharos - Back Wall,,,,2019-01-06T00:00:00Z,2019-01-06T00:25:14Z,,,,
Bard,2186761824,http://www.thecrag.com/ascent/2186761824,Onsight,12,1,***,120m,Bard,12,11967355,http://www.thecrag.com/route/11967355,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Bard Buttress,,,,2019-01-06T00:00:00Z,2019-01-06T00:24:38Z,,,,
The Never Believers,2186741643,http://www.thecrag.com/ascent/2186741643,Red point,23,1,**,15m,The Never Believers,23,13155829,http://www.thecrag.com/route/13155829,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Blackheath Area - Logan Brae - Main Cliff,,,,2019-01-06T00:00:00Z,2019-01-06T00:15:54Z,,,,
Alien Signature,2186741658,http://www.thecrag.com/ascent/2186741658,Red point,23,1,**,19m,Alien Signature,23,13155889,http://www.thecrag.com/route/13155889,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Blackheath Area - Logan Brae - Main Cliff,,,,2019-01-06T00:00:00Z,2019-01-06T00:15:54Z,,,,
Jaqueline Hyde,2186733348,http://www.thecrag.com/ascent/2186733348,Pink point,24,1,**,15m,Jaqueline Hyde,24,15348523,http://www.thecrag.com/route/15348523,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Blackheath Area - Centennial Glen - Wave Wall,,,,2019-01-06T00:00:00Z,2019-01-06T00:14:41Z,,,,
Split Wave,2186733363,http://www.thecrag.com/ascent/2186733363,Red point,23,1,**,20m,Split Wave,23,15348385,http://www.thecrag.com/route/15348385,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Blackheath Area - Centennial Glen - Wave Wall,,,,2019-01-06T00:00:00Z,2019-01-06T00:14:41Z,,,,
Ashes to Ashes,2186727222,http://www.thecrag.com/ascent/2186727222,Pink point,25,1,***,18m,Ashes to Ashes,25,15411913,http://www.thecrag.com/route/15411913,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Mount Victoria Area - Mount York - Ashes to Ashes Area,,,,2019-01-06T00:00:00Z,2019-01-06T00:13:24Z,,,,
Lonely Thursday,2186725377,http://www.thecrag.com/ascent/2186725377,Flash,19,1,*,12m,Lonely Thursday,19,15449689,http://www.thecrag.com/route/15449689,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Bell's Line of Road & Chifley Rd - The Dam Cliffs - Steep Wall,,,,2019-01-06T00:00:00Z,2019-01-06T00:12:46Z,,,,
Stormin Norman,2186725362,http://www.thecrag.com/ascent/2186725362,Flash,18,1,*,12m,Stormin Norman,18,15449353,http://www.thecrag.com/route/15449353,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Bell's Line of Road & Chifley Rd - The Dam Cliffs - Steep Wall,,,,2019-01-06T00:00:00Z,2019-01-06T00:12:46Z,,,,
Friendly Fire,2186725347,http://www.thecrag.com/ascent/2186725347,Flash,21,1,*,12m,Friendly Fire,21,15449269,http://www.thecrag.com/route/15449269,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Bell's Line of Road & Chifley Rd - The Dam Cliffs - Steep Wall,,,,2019-01-06T00:00:00Z,2019-01-06T00:12:45Z,,,,
Right of the Rooflet,2186724132,http://www.thecrag.com/ascent/2186724132,Deep water solo,20,1,**,10m,Right of the Rooflet,20,422995401,http://www.thecrag.com/route/422995401,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Bell's Line of Road & Chifley Rd - The Dam Cliffs - The Dam Cliff DWS,,,,2019-01-06T00:00:00Z,2019-01-06T00:11:49Z,,,,
The Line of Least Resistance,2186722962,http://www.thecrag.com/ascent/2186722962,Deep water solo,17,1,**,20m,The Line of Least Resistance,17,421757004,http://www.thecrag.com/route/421757004,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Bell's Line of Road & Chifley Rd - The Dam Cliffs - The Dam Cliff DWS,,,Mega Classic,2019-01-06T00:00:00Z,2019-01-06T00:10:56Z,,,,
Jingle Bells,2186719809,http://www.thecrag.com/ascent/2186719809,Flash,21,1,**,15m,Jingle Bells,21,119871960,http://www.thecrag.com/route/119871960,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Bell's Line of Road & Chifley Rd - Bell Supercrag - Arrivals (Lower),,,,2019-01-06T00:00:00Z,2019-01-06T00:09:42Z,,,,
Snappy Dresser,2186719824,http://www.thecrag.com/ascent/2186719824,Pink point,24,1,**,15m,Snappy Dresser,24,119872440,http://www.thecrag.com/route/119872440,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Bell's Line of Road & Chifley Rd - Bell Supercrag - Arrivals (Lower),,,,2019-01-06T00:00:00Z,2019-01-06T00:09:42Z,,,,
Seamstress,2186717301,http://www.thecrag.com/ascent/2186717301,Onsight,22,1,***,22m,Seamstress,22,119850573,http://www.thecrag.com/route/119850573,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Bell's Line of Road & Chifley Rd - Bell Supercrag - Sunnyside,,,,2019-01-06T00:00:00Z,2019-01-06T00:08:49Z,,,,
Searching for the Light,2186717316,http://www.thecrag.com/ascent/2186717316,Ground up red point,23,1,**,24m,Searching for the Light,23,119850753,http://www.thecrag.com/route/119850753,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Bell's Line of Road & Chifley Rd - Bell Supercrag - Sunnyside,,,,2019-01-06T00:00:00Z,2019-01-06T00:08:49Z,,,,
Exhibition Wall,2186713101,http://www.thecrag.com/ascent/2186713101,Red point,21,1,***,30m,Exhibition Wall,21,15406093,http://www.thecrag.com/route/15406093,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Mount Victoria Area - Mount York - Exhibition Wall,,,,2019-01-06T00:00:00Z,2019-01-06T00:06:30Z,,,,
Murmel Snooze,2186703120,http://www.thecrag.com/ascent/2186703120,Flash,20,1,**,25m,Murmel Snooze,20,15412897,http://www.thecrag.com/route/15412897,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Mount Victoria Area - Mount York - Mezzaluna Area,,,,2019-01-06T00:00:00Z,2019-01-06T00:04:18Z,,,,
Public Pressure,2186703135,http://www.thecrag.com/ascent/2186703135,Flash,19,1,**,30m,Public Pressure,19,15412951,http://www.thecrag.com/route/15412951,Australia,http://www.thecrag.com/area/11737699,Blue Mountains,http://www.thecrag.com/area/11741347,Blue Mountains - Mount Victoria Area - Mount York - Mezzaluna Area,,,,2019-01-06T00:00:00Z,2019-01-06T00:04:18Z,,,,
